人物ID,姓名,姓,名,姓読み,名読み,姓読みソート用,名読みソート用,姓ローマ字,名ローマ字,生年月日,没年月日,人物著作権フラグ
802,三宅花圃,三宅,花圃,みやけ,かほ,みやけ,かほ,Miyake,Kaho,1869-02-04,1943-07-18,なし
1375,鵜殿正雄,鵜殿,正雄,うどの,まさお,うとの,まさお,Udono,Masao,1877,1945,なし
1373,木暮理太郎,木暮,理太郎,こぐれ,りたろう,こくれ,りたろう,Kogure,Ritaro,1873,1944-05-07,なし
1228,辻村もと子,辻村,もと子,つじむら,もとこ,つしむら,もとこ,Tsujimura,Motoko,1906-02-11,1946-05-24,なし
1017,三上義夫,三上,義夫,みかみ,よしお,みかみ,よしお,Mikami,Yoshio,1875-02-16,1950-12-31,なし
220,吉江喬松,吉江,喬松,よしえ,たかまつ,よしえ,たかまつ,Yoshie,Takamatsu,1880-09-05,1940-03-26,なし
1389,シュウォッブマルセル,シュウォッブ,マルセル,シュウォッブ,マルセル,しゆうおつふ,まるせる,Schwob,Marcel,1867-08-25,1905-02-26,なし
940,別所梅之助,別所,梅之助,べっしょ,うめのすけ,へつしよ,うめのすけ,Bessho,Umenosuke,1872-01-21,1945-03-01,なし
1388,新島襄,新島,襄,にいじま,じょう,にいしま,しよう,Niijima,Jo,1843-02-12,1890-01-23,なし
111,佐々木味津三,佐々木,味津三,ささき,みつぞう,ささき,みつそう,Sasaki,Mitsuzo,1896-03-18,1934-02-06,なし
1062,ストリンドベリアウグスト,ストリンドベリ,アウグスト,ストリンドベリ,アウグスト,すとりんとへり,あうくすと,Strindberg,August,1849,1912,なし
1595,井上準之助,井上,準之助,いのうえ,じゅんのすけ,いのうえ,しゆんのすけ,Inoue,Junnosuke,1869-05-06,1932-02-09,なし
970,とだけん,とだ,けん,とだ,けん,とた,けん,Toda,Ken,1889-01-04,1936-03-11,なし
1262,土原耕作,土原,耕作,つちはら,こうさく,つちはら,こうさく,Tsuchihara,Kosaku,1889-01-04,1936-03-11,なし
342,柴田流星,柴田,流星,しばた,りゅうせい,しはた,りゆうせい,Shibata,Ryusei,1879-02-28,1913-09-27,なし
1066,ビアスアンブローズ,ビアス,アンブローズ,ビアス,アンブローズ,ひあす,あんふろおす,Bierce,Ambrose,1842,1914,なし
338,フランスアナトール,フランス,アナトール,フランス,アナトール,ふらんす,あなとおる,France,Anatole,1844-04-16,1924-10-12,なし
1428,アインシュタインアルベルト,アインシュタイン,アルベルト,アインシュタイン,アルベルト,あいんしゆたいん,あるへると,Einstein,Albert,1879-03-14,1955-04-18,なし
374,饗庭篁村,饗庭,篁村,あえば,こうそん,あえは,こうそん,Aeba,Koson,1855-09-25,1922-06-20,なし
1314,青柳喜兵衛,青柳,喜兵衛,あおやぎ,きへい,あおやき,きへい,Aoyagi,Kihei,1904-01-01,1938-08-28,なし
1990,芥川紗織,芥川,紗織,あくたがわ,さおり,あくたかわ,さおり,Akutagawa,Saori,1924-05-24,1966-01-31,なし
347,小川亮作,小川,亮作,おがわ,りょうさく,おかわ,りようさく,Ogawa,Ryosaku,1910,1951,なし
380,浅井洌,浅井,洌,あさい,れつ,あさい,れつ,Asai,Retsu,1849-10-10,1938-02-27,なし
1816,浅野正恭,浅野,正恭,あさの,まさやす,あさの,まさやす,Asano,Masayasu,1868-01-22,1954-10-20,なし
225,阿部徳蔵,阿部,徳蔵,あべ,とくぞう,あへ,とくそう,Abe,Tokuzo,1889,1944,なし
1909,安倍能成,安倍,能成,あべ,よししげ,あへ,よししけ,Abe,Yoshishige,1883-12-23,1966-06-07,なし
1948,鮎川義介,鮎川,義介,あゆかわ,よしすけ,あゆかわ,よしすけ,Ayukawa,Yoshisuke,1880-11-06,1967-02-13,なし
1902,新井紀一,新井,紀一,あらい,きいち,あらい,きいち,Arai,Kiichi,1890-02-22,1966-03-13,なし
1716,アラルコンペドロ・アントニオ,アラルコン,ペドロ・アントニオ,アラルコン,ペドロ・アントニオ,あらるこん,へとろあんとにお,Alarcon,Pedro Antonio,1833-01-10,1891-07-19,なし
1221,荻原雲来,荻原,雲来,おぎわら,うんらい,おきわら,うんらい,Ogiwara,Unrai,1869-03-22,1937-12-20,なし
2044,奥増夫,奥,増夫,おく,ますお,おく,ますお,Oku,Masuo,,,あり
366,アルチバシェッフミハイル・ペトローヴィチ,アルチバシェッフ,ミハイル・ペトローヴィチ,アルチバシェッフ,ミハイル・ペトローヴィチ,あるちはしえつふ,みはいるへとろおういち,Artsybashev,Mikhail Petrovich,1878-11-05,1927-03-03,なし
1863,安西冬衛,安西,冬衛,あんざい,ふゆえ,あんさい,ふゆえ,Anzai,Huyue,1898-03-09,1965-08-24,なし
907,アンドレーエフレオニード・ニコラーエヴィチ,アンドレーエフ,レオニード・ニコラーエヴィチ,アンドレーエフ,レオニード・ニコラーエヴィチ,あんとれええふ,れおにいとにこらあえういち,Andreev,Leonid Nikolaevich,1871,1919,なし
1597,李箱,李,箱,い,さん,い,さん,I,Sang,1910-09-14,1937-04-17,なし
1626,猪狩満直,猪狩,満直,いかり,みつなお,いかり,みつなお,Ikari,Mitsunao,1898-05-09,1938-04-17,なし
392,生田葵山,生田,葵山,いくた,きざん,いくた,きさん,Ikuta,Kizan,1876-04-14,1945-12-31,なし
393,生田長江,生田,長江,いくた,ちょうこう,いくた,ちようこう,Ikuta,Choko,1882-04-21,1936-01-11,なし
1413,池田亀鑑,池田,亀鑑,いけだ,きかん,いけた,きかん,Ikeda,Kikan,1896-12-09,1956-12-19,なし
1352,池田輝方,池田,輝方,いけだ,てるかた,いけた,てるかた,Ikeda,Terukata,1833-01-04,1921-05-06,なし
398,池谷信三郎,池谷,信三郎,いけたに,しんざぶろう,いけたに,しんさふろう,Iketani,Shinsaburo,1900-10-15,1933-12-21,なし
868,池宮城積宝,池宮城,積宝,いけみやぎ,せきほう,いけみやき,せきほう,Ikemiyagi,Sekiho,1893,1951,なし
228,井沢衣水,井沢,衣水,いざわ,いすい,いさわ,いすい,Izawa,Isui,1889,1967-08-14,なし
1252,石井研堂,石井,研堂,いしい,けんどう,いしい,けんとう,Ishii,Kendo,1865,1943,なし
1460,尾佐竹猛,尾佐竹,猛,おさたけ,たけき,おさたけ,たけき,Osatake,Takeki,1880-01-20,1946-10-01,なし
1170,石川三四郎,石川,三四郎,いしかわ,さんしろう,いしかわ,さんしろう,Ishikawa,Sanshiro,1876-05-23,1956-11-28,なし
1835,石川成章,石川,成章,いしかわ,せいしょう,いしかわ,せいしよう,Ishikawa,Seisho,1872-07-26,1945-09-06,なし
1478,石川千代松,石川,千代松,いしかわ,ちよまつ,いしかわ,ちよまつ,Ishikawa,Chiyomatsu,1860-01-08,1935-01-17,なし
1206,石河幹明,石河,幹明,いしかわ,みきあき,いしかわ,みきあき,Ishikawa,Mikiaki,1859-11-11,1943-07-25,なし
229,石田孫太郎,石田,孫太郎,いしだ,まごたろう,いした,まこたろう,Ishida,Magotaro,1874,1936,なし
1742,石原忍,石原,忍,いしはら,しのぶ,いしはら,しのふ,Ishihara,Shinobu,1879-09-25,1963-01-03,なし
1665,泉芳朗,泉,芳朗,いずみ,ほうろう,いすみ,ほうろう,Izumi,Horo,1905-03-18,1959-04-09,なし
864,板倉勝宣,板倉,勝宣,いたくら,かつのぶ,いたくら,かつのふ,Itakura,Katsunobu,1898-02-12,1923-01-17,なし
412,市島春城,市島,春城,いちじま,しゅんじょう,いちしま,しゆんしよう,Ichijima,Syunjo,1860-03-09,1944-04-21,なし
1197,伊東静雄,伊東,静雄,いとう,しずお,いとう,しすお,Ito,Shizuo,1906-12-10,1953-03-12,なし
1642,伊藤信二,伊藤,信二,いとう,しんじ,いとう,しんし,Ito,Shinji,1907-10-30,1932-08-14,なし
1232,伊東忠太,伊東,忠太,いとう,ちゅうた,いとう,ちゆうた,Ito,Chyuta,1867-11-21,1954-04-07,なし
1961,稲垣巌,稲垣,巌,いながき,いわお,いなかき,いわお,Inagaki,Iwao,1897-02-15,1937-08-15,なし
1289,犬田卯,犬田,卯,いぬた,しげる,いぬた,しける,Inuta,Shigeru,1891-08-23,1957-07-21,なし
1685,井上貞治郎,井上,貞治郎,いのうえ,ていじろう,いのうえ,ていしろう,Inoue,Teijiro,1881-08-16,1963-11-10,なし
420,井上哲次郎,井上,哲次郎,いのうえ,てつじろう,いのうえ,てつしろう,Inoue,Tetsujiro,1856-02-01,1944-12-07,なし
1315,井上良夫,井上,良夫,いのうえ,よしお,いのうえ,よしお,Inoue,Yoshio,1908,1945,なし
232,伊波普猷,伊波,普猷,いは,ふゆう,いは,ふゆう,Iha,Fuyu,1876-03-15,1947-08-13,なし
1336,伊庭心猿,伊庭,心猿,いば,しんえん,いは,しんえん,Iba,Shinen,1908,1957-02-25,なし
1210,違星北斗,違星,北斗,いぼし,ほくと,いほし,ほくと,Iboshi,Hokuto,1902-01-01,1929-01-26,なし
234,今井邦子,今井,邦子,いまい,くにこ,いまい,くにこ,Imai,Kuniko,1890-05-31,1948-07-15,なし
1627,今村恒夫,今村,恒夫,いまむら,つねお,いまむら,つねお,Imamura,Tsuneo,1908-01-15,1936-12-09,なし
430,伊良子清白,伊良子,清白,いらこ,せいはく,いらこ,せいはく,Irako,Seihaku,1877-10-04,1946-01-10,なし
137,岩野泡鳴,岩野,泡鳴,いわの,ほうめい,いわの,ほうめい,Iwano,Homei,1873-01-20,1920-05-09,なし
1353,岩村透,岩村,透,いわむら,とおる,いわむら,とおる,Iwamura,Toru,1870-02-25,1917-08-17,なし
493,加藤朝鳥,加藤,朝鳥,かとう,あさとり,かとう,あさとり,Kato,Asatori,1886-09-19,1938-05-17,なし
1534,岩本素白,岩本,素白,いわもと,そはく,いわもと,そはく,Iwamoto,Sohaku,1883-08-17,1961-10-02,なし
17,ウィードグスターフ,ウィード,グスターフ,ウィード,グスターフ,ういいと,くすたあふ,Wied,Gustav,1858,1914,なし
435,上田万年,上田,万年,うえだ,かずとし,うえた,かすとし,Ueda,Kazutoshi,1867-02-11,1937-10-26,なし
1628,上田進,上田,進,うえだ,すすむ,うえた,すすむ,Ueda,Susumu,1907-10-24,1947-02-24,なし
1903,上田広,上田,広,うえだ,ひろし,うえた,ひろし,Ueda,Hiroshi,1905-06-18,1966-02-27,なし
880,枯葉,枯葉,,かれは,,かれは,,Kareha,,,,あり
1705,ヴェルハーレンエミール,ヴェルハーレン,エミール,ヴェルハーレン,エミール,うえるはあれん,えみいる,Verhaeren,Emile,1855-03-21,1916-11-27,なし
1582,宇田川文海,宇田川,文海,うだがわ,ぶんかい,うたかわ,ふんかい,Udagawa,Bunkai,1848-03-28,1930-01-06,なし
1070,神吉三郎,神吉,三郎,かんき,さぶろう,かんき,さふろう,Kanki,Saburo,1899-2-17,1952-11-9,なし
1762,内山完造,内山,完造,うちやま,かんぞう,うちやま,かんそう,Uchiyama,Kanzou,1885-01-11,1959-09-20,なし
1798,梅崎春生,梅崎,春生,うめざき,はるお,うめさき,はるお,Umezaki,Haruo,1915-02-15,1965-07-19,なし
1630,榎南謙一,榎南,謙一,えなみ,けんいち,えなみ,けんいち,Enami,Kenichi,1913,1945,なし
1321,江南文三,江南,文三,えなみ,ぶんぞう,えなみ,ふんそう,Enami,Bunzo,1887-12-26,1946-02-08,なし
448,江見水蔭,江見,水蔭,えみ,すいいん,えみ,すいいん,Emi,Suiin,1869-09-17,1934-11-03,なし
1139,エンゲルスフリードリッヒ,エンゲルス,フリードリッヒ,エンゲルス,フリードリッヒ,えんけるす,ふりいとりつひ,Engels,Friedrich,1820-11-28,1895-08-05,なし
1908,小穴隆一,小穴,隆一,おあな,りゅういち,おあな,りゆういち,Oana,Ryuichi,1894-11-28,1966-04-24,なし
1631,大石喜幸,大石,喜幸,おおいし,よしゆき,おおいし,よしゆき,Oishi,Yoshiyuki,1910,1941,なし
1632,大江鉄麿,大江,鉄麿,おおえ,てつまろ,おおえ,てつまろ,Oe,Tetsumaro,1915,1944,なし
1689,大木頭,大木,頭,おおき,,おおき,,Oki,,1886-02-20,1912-04-13,なし
1879,大隈重信,大隈,重信,おおくま,しげのぶ,おおくま,しけのふ,Okuma,Shigenobu,1838-03-11,1922-01-10,なし
1872,大下宇陀児,大下,宇陀児,おおした,うだる,おおした,うたる,Oshita,Udaru,1896-11-15,1966-08-11,なし
863,大島亮吉,大島,亮吉,おおしま,りょうきち,おおしま,りようきち,Oshima,Ryokichi,1899-09-04,1928-03-25,なし
1824,大坪砂男,大坪,砂男,おおつぼ,すなお,おおつほ,すなお,Otsubo,Sunao,1904-02-01,1965-01-12,なし
1316,大庭武年,大庭,武年,おおば,たけとし,おおは,たけとし,Oba,Taketoshi,1904,1945,なし
1474,丘浅次郎,丘,浅次郎,おか,あさじろう,おか,あさしろう,Oka,Asajiro,1868-12-31,1944-05-02,なし
965,丘丘十郎,丘,丘十郎,おか,きゅうじゅうろう,おか,きゆうしゆうろう,Oka,Kyujuro,1897-12-26,1949-05-17,なし
467,岡倉由三郎,岡倉,由三郎,おかくら,よしさぶろう,おかくら,よしさふろう,Okakura,Yoshisaburo,1868-03-15,1936-10-31,なし
1354,岡崎雪声,岡崎,雪声,おかざき,せっせい,おかさき,せつせい,Okazaki,Sessei,1854-02-26,1921-04-16,なし
1355,岡田三郎助,岡田,三郎助,おかだ,さぶろうすけ,おかた,さふろうすけ,Okada,Saburosuke,1869- 02-22,1939-09-23,なし
874,尾形亀之助,尾形,亀之助,おがた,かめのすけ,おかた,かめのすけ,Ogata,Kamenosuke,1900-12-12,1942-12-02,なし
239,岡本一平,岡本,一平,おかもと,いっぺい,おかもと,いつへい,Okamoto,Ippei,1886-06-11,1948-10-11,なし
1339,岡本帰一,岡本,帰一,おかもと,きいち,おかもと,きいち,Okamoto,Kiichi,1888-6-12,1930-12-29,なし
474,小川正子,小川,正子,おがわ,まさこ,おかわ,まさこ,Ogawa,Masako,1902-03-26,1943-04-29,なし
120,木下杢太郎,木下,杢太郎,きのした,もくたろう,きのした,もくたろう,Kinoshita,Mokutaro,1885-08-01,1945-10-15,なし
1180,沖野岩三郎,沖野,岩三郎,おきの,いわさぶろう,おきの,いわさふろう,Okino,Iwasaburo,1876-01-05,1956-01-30,なし
240,荻原守衛,荻原,守衛,おぎわら,もりえ,おきわら,もりえ,Ogiwara,Morie,1879-12-01,1910-04-22,なし
1753,尾崎士郎,尾崎,士郎,おざき,しろう,おさき,しろう,Ozaki,Shiro,1898-02-05,1964-02-19,なし
242,尾崎秀実,尾崎,秀実,おざき,ほつみ,おさき,ほつみ,Ozaki,Hotsumi,1901-05-01,1944-11-07,なし
479,小山内薫,小山内,薫,おさない,かおる,おさない,かおる,Osanai,Kaoru,1881-07-26,1928-12-25,なし
1589,落合ユキ子,落合,ユキ子,おちあい,ユキこ,おちあい,ゆきこ,Ochiai,Yukiko,1903-11-07,1946-08-04,なし
1761,小津安二郎,小津,安二郎,おづ,やすじろう,おつ,やすしろう,Ozu,Yasujiro,1903-12-12,1963-12-12,なし
1887,小野梓,小野,梓,おの,あずさ,おの,あすさ,Ono,Azusa,1852-03-10,1886-01-11,なし
243,小野賢一郎,小野,賢一郎,おの,けんいちろう,おの,けんいちろう,Ono,Ken'ichiro,1888-07-01,1943-02-01,なし
871,小野浩,小野,浩,おの,ひろし,おの,ひろし,Ono,Hiroshi,1894-06-29,1933-10-21,なし
1356,尾上梅幸,尾上,梅幸,おのえ,ばいこう,おのえ,はいこう,Onoe,Baiko,1870-11-08,1934-11-08,なし
201,グリーンジェイムズ,グリーン,ジェイムズ,グリーン,ジェイムズ,くりいん,しえいむす,Green,James,,2014-04,あり
1246,恩地孝四郎,恩地,孝四郎,おんち,こうしろう,おんち,こうしろう,Onchi,Koshiro,1891-07-02,1955-06-03,なし
1290,癋見鈍太郎,癋見,鈍太郎,かくみ,どんたろう,かくみ,とんたろう,Kakumi,Dontaro,1889-01-04,1936-03-11,なし
244,梶井久,梶井,久,かじい,ひさ,かしい,ひさ,Kajii,Hisa,1870,1946,なし
1978,勝本清一郎,勝本,清一郎,かつもと,せいいちろう,かつもと,せいいちろう,Katsumoto,Seiichiro,1899-05-05,1967-03-23,なし
1286,桂小南,桂,小南,かつら,こなん,かつら,こなん,Katsura,Konan,1880-05-24,1947-11-21,なし
919,加藤一夫,加藤,一夫,かとう,かずお,かとう,かすお,Kato,Kazuo,1887-02-28,1951-01-25,なし
1317,加藤弘之,加藤,弘之,かとう,ひろゆき,かとう,ひろゆき,Kato,Hiroyuki,1836-06-23,1916-02-09,なし
1240,加藤道夫,加藤,道夫,かとう,みちお,かとう,みちお,Kato,Michio,1918-10-17,1953-12-22,なし
1984,金沢庄三郎,金沢,庄三郎,かなざわ,しょうざぶろう,かなさわ,しようさふろう,Kanazawa,Shozaburo,1872-06-12,1967-06-02,なし
873,金田千鶴,金田,千鶴,かなだ,ちづ,かなた,ちつ,Kanada,Chizu,1902-11-19,1934-08-17,なし
1956,金森徳次郎,金森,徳次郎,かなもり,とくじろう,かなもり,とくしろう,Kanamori,Tokujiro,1886-03-17,1959-06-16,なし
920,金子薫園,金子,薫園,かねこ,くんえん,かねこ,くんえん,Kaneko,Kun'en,1876-11-30,1951-03-30,なし
246,金子ふみ子,金子,ふみ子,かねこ,ふみこ,かねこ,ふみこ,Kaneko,Fumiko,1903-01-25,1926-07-23,なし
1781,金田鬼一,金田,鬼一,かねだ,きいち,かねた,きいち,Kaneda,Kiichi,1886-12-10,1963-11-01,なし
866,狩野亨吉,狩野,亨吉,かのう,こうきち,かのう,こうきち,Kano,Kokichi,1865-09-17,1942-12-22,なし
891,加福均三,加福,均三,かふく,きんぞう,かふく,きんそう,Kafuku,Kinzo,1885,1948,なし
1870,亀井勝一郎,亀井,勝一郎,かめい,かついちろう,かめい,かついちろう,Kamei,Katsuichiro,1907-02-06,1966-11-14,なし
1076,高良とみ,高良,とみ,こうら,とみ,こうら,とみ,Kora,Tomi,1896-7-1,1993-1-17,あり
1906,河井寛次郎,河井,寛次郎,かわい,かんじろう,かわい,かんしろう,Kawai,Kanjiro,1890-08-24,1966-11-18,なし
1861,河井酔茗,河井,酔茗,かわい,すいめい,かわい,すいめい,Kawai,Suimei,1874-05-07,1965-01-17,なし
507,川上眉山,川上,眉山,かわかみ,びざん,かわかみ,ひさん,Kawakami,Bizan,1869-04-16,1908-06-15,なし
1911,川田順,川田,順,かわだ,じゅん,かわた,しゆん,Kawada,Jun,1882-01-15,1966-01-22,なし
1588,川田雪山,川田,雪山,かわだ,せつざん,かわた,せつさん,Kawada,Setsuzan,1879-05-24,1951-01,なし
1532,川田瑞穂,川田,瑞穂,かわだ,みずほ,かわた,みすほ,Kawada,Mizuho,1879-05-24,1951-01,なし
369,川端茅舎,川端,茅舎,かわばた,ぼうしゃ,かわはた,ほうしや,Kawabata,Bosha,1897-08-17,1941-07-17,なし
510,河東碧梧桐,河東,碧梧桐,かわひがし,へきごとう,かわひかし,へきことう,Kawahigashi,Hekigoto,1873-02-26,1937-02-01,なし
938,観世左近　二十四世,観世,左近　二十四世,かんぜ,さこん　にじゅうよんせい,かんせ,さこんにしゆうよんせい,Kanze,Sakon Nijuyonsei,1895-12-18,1939-03-21,なし
1731,神田左京,神田,左京,かんだ,さきょう,かんた,さきよう,Kanda,Sakyo,1874-07-07,1939-07-07,なし
1666,漢那浪笛,漢那,浪笛,かんな,ろうてき,かんな,ろうてき,Kanna,Roteki,1887,1939,なし
1055,蒲原有明,蒲原,有明,かんばら,ありあけ,かんはら,ありあけ,Kanbara,Ariake,1875-03-15,1952-02-03,なし
1484,魏徴,魏,徴,ぎ,ちょう,き,ちよう,Wei,Zheng,580,643,なし
872,木内高音,木内,高音,きうち,たかね,きうち,たかね,Kiuchi,Takane,1896-02-28,1951-06-07,なし
514,菊池幽芳,菊池,幽芳,きくち,ゆうほう,きくち,ゆうほう,Kikuchi,Yuho,1870-10-27,1947-07-21,なし
1723,斎藤三郎,斎藤,三郎,さいとう,さぶろう,さいとう,さふろう,Saito,Saburo,1895-08-26,1960-02-02,なし
164,堺利彦,堺,利彦,さかい,としひこ,さかい,としひこ,Sakai,Toshihiko,1871-01-15,1933-01-23,なし
251,岸田劉生,岸田,劉生,きしだ,りゅうせい,きした,りゆうせい,Kishida,Ryusei,1891-06-23,1929-12-20,なし
1751,北尾亀男,北尾,亀男,きたお,かめお,きたお,かめお,Kitao,Kameo,1892-08-25,1958-02-08,なし
1357,北村四海,北村,四海,きたむら,しかい,きたむら,しかい,Kitamura,Shikai,1871-04-03,1927-11-14,なし
1537,喜多村緑郎,喜多村,緑郎,きたむら,ろくろう,きたむら,ろくろう,Kitamura,Rokuro,1871-09-07,1961-05-16,なし
114,キプリングラデャード,キプリング,ラデャード,キプリング,ラデャード,きふりんく,らてやあと,Kipling,Rudyard,1865-12-30,1936-01-18,なし
1207,木村芥舟,木村,芥舟,きむら,かいしゅう,きむら,かいしゆう,Kimura,Kaishu,1830-02-27,1901-12-09,なし
1243,木村小舟,木村,小舟,きむら,しょうしゅう,きむら,しようしゆう,Kimura,Shoshu,1881-09-12,1955-04-20,なし
1894,木村荘十,木村,荘十,きむら,そうじゅう,きむら,そうしゆう,Kimura,Soju,1897-01-12,1967-05-06,なし
1643,木村好子,木村,好子,きむら,よしこ,きむら,よしこ,Kimura,Yoshiko,1904-01-10,1959-10-24,なし
1327,肝付兼行,肝付,兼行,きもつき,かねゆき,きもつき,かねゆき,Kimotsuki,Kaneyuki,1853-04-23,1922-01-13,なし
1393,キャロルルイス,キャロル,ルイス,キャロル,ルイス,きやろる,るいす,Carroll,Lewis,1832-01-27,1898-01-14,なし
1078,瞿佑,瞿,佑,く,ゆう,く,ゆう,Qu,You,1341,1427,なし
253,陸羯南,陸,羯南,くが,かつなん,くか,かつなん,Kuga,Katsunan,1857-11-30,1907-09-02,なし
1516,草野天平,草野,天平,くさの,てんぺい,くさの,てんへい,Kusano,Tenpei,1910-02-28,1952-04-25,なし
1866,楠田匡介,楠田,匡介,くすだ,きょうすけ,くすた,きようすけ,Kusuda,Kyousuke,1903,1966,なし
367,クスミンミカイル・アレクセーヴィチ,クスミン,ミカイル・アレクセーヴィチ,クスミン,ミカイル・アレクセーヴィチ,くすみん,みかいるあれくせえういち,Kuzmin,Mikhail Alekseevich,1872,1936,なし
1834,The Creative CAT,The Creative CAT,,ザ・クリエイティヴ・キャット,,さくりえいていうきやつと,,The Creative CAT,,,,あり
1633,国見善弘,国見,善弘,くにみ,よしひろ,くにみ,よしひろ,Kunimi,Yoshihiro,1916,1937,なし
1307,久保栄,久保,栄,くぼ,さかえ,くほ,さかえ,Kubo,Sakae,1900-12-28,1958-03-15,なし
537,久保良英,久保,良英,くぼ,よしひで,くほ,よしひて,Kubo,Yoshihide,1883-04-22,1942-11-11,なし
1907,窪田空穂,窪田,空穂,くぼた,うつぼ,くほた,うつほ,Kubota,Utsuho,1877-06-08,1967-04-12,なし
1692,久保田万太郎,久保田,万太郎,くぼた,まんたろう,くほた,まんたろう,Kubota,Mantaro,1889-11-07,1963-05-06,なし
1144,クラウフォードフランシス・マリオン,クラウフォード,フランシス・マリオン,クラウフォード,フランシス・マリオン,くらうふおおと,ふらんしすまりおん,Crawford,Francis Marion,1854-08-02,1909-04-09,なし
1645,倉橋潤一郎,倉橋,潤一郎,くらはし,じゅんいちろう,くらはし,しゆんいちろう,Kurahashi,Jun'ichiro,1914,1945-10,なし
1821,蔵原伸二郎,蔵原,伸二郎,くらはら,しんじろう,くらはら,しんしろう,Kurahara,Shinjiro,1899-09-04,1965-03-16,なし
357,クラルテジュール,クラルテ,ジュール,クラルテ,ジュール,くらるて,しゆうる,Claretie,Jules,1840,1913,なし
1527,栗島山之助,栗島,山之助,くりしま,さんのすけ,くりしま,さんのすけ,Kurishima,Sannosuke,1876-04-01,1945-11-06,なし
1563,グルモンレミ・ドゥ,グルモン,レミ・ドゥ,グルモン,レミ・ドゥ,くるもん,れみとう,Gourmont,Remy de,1858-04-04,1915-09-27,なし
1707,クローデルポール,クローデル,ポール,クローデル,ポール,くろおてる,ほおる,Claudel,Paul,1868-08-06,1955-02-23,なし
974,黒木舜平,黒木,舜平,くろき,しゅんぺい,くろき,しゆんへい,Kuroki,Shunpei,1909-06-19,1948-06-13,なし
37,黒島伝治,黒島,伝治,くろしま,でんじ,くろしま,てんし,Kuroshima,Denji,1898-12-12,1943-10-17,なし
257,黒田清輝,黒田,清輝,くろだ,せいき,くろた,せいき,Kuroda,Seiki,1866-06-29,1924-07-15,なし
1435,黒部溯郎,黒部,溯郎,くろべ,そろう,くろへ,そろう,Kurobe,Soro,1892,1949-03,なし
542,桑木厳翼,桑木,厳翼,くわき,げんよく,くわき,けんよく,Kuwaki,Gen'yoku,1874-06-25,1946-12-15,なし
1250,ケイエレン,ケイ,エレン,ケイ,エレン,けい,えれん,Key,Ellen,1849-12-11,1926-04-25,なし
1285,慶應義塾,慶應義塾,,けいおうぎじゅく,,けいおうきしゆく,,Keiogijuku,,,,なし
1300,ケネディパトリック,ケネディ,パトリック,ケネディ,パトリック,けねてい,はとりつく,Kennedy,Patrick,1801,1873,なし
1769,ゲランシャルル,ゲラン,シャルル,ゲラン,シャルル,けらん,しやるる,Guerin,Charles,1873-12-29,1907-03-17,なし
1846,小泉信三,小泉,信三,こいずみ,しんぞう,こいすみ,しんそう,Koizumi,Shinzo,1888-05-04,1966-05-11,なし
1759,実吉捷郎,実吉,捷郎,さねよし,はやお,さねよし,はやお,Saneyoshi,Hayao,1895-01-20,1962-02-15,なし
1774,高祖保,高祖,保,こうそ,たもつ,こうそ,たもつ,Koso,Tamotsu,1910-05-04,1945-01-20,なし
1469,河野常吉,河野,常吉,こうの,つねきち,こうの,つねきち,Kono,Tsunekichi,1863-01-11,1930-09-03,なし
1677,河野広道,河野,広道,こうの,ひろみち,こうの,ひろみち,Kouno,Hiromichi,1905-01-17,1963-07-12,なし
1797,河本大作,河本,大作,こうもと,だいさく,こうもと,たいさく,Komoto,Daisaku,1883-01-24,1955-08-25,なし
1077,郡虎彦,郡,虎彦,こおり,とらひこ,こおり,とらひこ,Kori,Torahiko,1890-6-28,1924-10-6,なし
364,ゴーリキーマクシム,ゴーリキー,マクシム,ゴーリキー,マクシム,こおりきい,まくしむ,Gorky,Maksim,1868,1936,なし
1247,小金井喜美子,小金井,喜美子,こがねい,きみこ,こかねい,きみこ,Koganei,Kimiko,1871-01-19,1956-01-26,なし
1186,宍戸儀一,宍戸,儀一,ししど,ぎいち,ししと,きいち,Shishido,Giichi,1907-05-09,1954-08-19,なし
599,島村抱月,島村,抱月,しまむら,ほうげつ,しまむら,ほうけつ,Shimamura,Hogetsu,1871-02-28,1918-11-05,なし
27,小島烏水,小島,烏水,こじま,うすい,こしま,うすい,Kojima,Usui,1873-12-29,1948-12-13,なし
1803,小杉放庵,小杉,放庵,こすぎ,ほうあん,こすき,ほうあん,Kosugi,Hoan,1881-12-30,1964-04-16,なし
1672,小竹主,小竹,主,こたけ,,こたけ,,Kotake,,1873-10-03,1961-12-04,なし
553,児玉花外,児玉,花外,こだま,かがい,こたま,かかい,Kodama,Kagai,1874-07-07,1943-09-20,なし
1613,後藤謙太郎,後藤,謙太郎,ごとう,けんたろう,ことう,けんたろう,Goto,Kentaro,1895,1925,なし
1256,小林一三,小林,一三,こばやし,いちぞう,こはやし,いちそう,Kobayashi,Ichizo,1873-01-03,1957-01-25,なし
1201,小舟勝二,小舟,勝二,こぶね,かつじ,こふね,かつし,Kobune,Katsuji,,1931,なし
1884,小宮豊隆,小宮,豊隆,こみや,とよたか,こみや,とよたか,Komiya,Toyotaka,1884-03-07,1966-05-03,なし
1268,小村雪岱,小村,雪岱,こむら,せったい,こむら,せつたい,Komura,Settai,1887-03-22,1940-10-17,なし
